teams,winner
"DrMundo,Viego,Milio,Lucian,Karma,Zac,Hecarim,Ahri,Ashe,Senna",1
"Tryndamere,Kayn,Corki,Nilah,Sona,Malphite,Taliyah,Tristana,Jinx,Lulu",0
"DrMundo,XinZhao,Xerath,Sivir,Shaco,Singed,LeeSin,Veigar,Jinx,Lulu",1
"Zac,Evelynn,Viego,Kaisa,Rell,Renekton,RekSai,Taliyah,Jinx,Rakan",0
"Azir,Belveth,Ekko,KogMaw,Milio,Zac,Graves,Taliyah,Twitch,Shaco",0
"Gragas,Viego,Katarina,Twitch,Blitzcrank,KSante,Kindred,Akali,Lucian,Milio",1
"Renekton,RekSai,Kennen,Seraphine,Sona,Aatrox,LeeSin,Hwei,Jinx,Lulu",0
"Illaoi,Khazix,Hwei,Zeri,Lulu,Garen,RekSai,Nilah,Karthus,Nautilus",0
"Gnar,Evelynn,KSante,Swain,Senna,DrMundo,Volibear,Nilah,Lucian,Janna",0
"Vayne,Kayn,Qiyana,Twitch,Seraphine,Gragas,Taliyah,Tristana,Jinx,Karma",1
"Smolder,Kayn,Akshan,Veigar,Bard,Riven,Viego,Katarina,Jhin,Zyra",1
"Gangplank,Hecarim,Orianna,Senna,Thresh,Udyr,Taliyah,Qiyana,Jhin,Camille",1
"Gragas,Rengar,Karma,Kaisa,Thresh,Aatrox,Rumble,Nilah,Senna,Nautilus",1
"TahmKench,Karthus,Katarina,Kalista,Blitzcrank,Renekton,Rengar,Taliyah,Zeri,Nami",1
"Volibear,Udyr,Jayce,KogMaw,Ashe,Gragas,Ivern,Yone,Nilah,Maokai",1
"Jax,Udyr,Akshan,Nilah,Camille,KSante,Ivern,Blitzcrank,Azir,Ashe",1
"Poppy,Gwen,Senna,Ezreal,Ahri,Cassiopeia,Graves,Katarina,Seraphine,Camille",1
"Riven,Rengar,Cassiopeia,Seraphine,Senna,Tryndamere,Graves,Katarina,Kaisa,Nautilus",0
"Olaf,Viego,Orianna,Seraphine,Nautilus,Jax,XinZhao,Nilah,Varus,Pyke",0
"Briar,Kayn,Karma,Kaisa,Bard,Tryndamere,Shaco,Katarina,Samira,Nautilus",1
"Viego,Lillia,Kassadin,Sivir,Camille,Darius,Shaco,Katarina,Ezreal,Rell",0
"Viego,Kindred,Alistar,Lucian,Hwei,LeeSin,Taliyah,Katarina,Samira,Camille",1
"Corki,Kindred,Nilah,Varus,Poppy,Gragas,LeeSin,Vladimir,Ezreal,Alistar",1
"Urgot,LeeSin,Katarina,Seraphine,Alistar,Yasuo,Rengar,Orianna,Vayne,Senna",1
