teams,winner
"[420, 427, 34, 236, 201, 122, 200, 154, 81, 43]",0
"[266, 203, 236, 910, 267, 887, 121, 79, 895, 37]",1
"[266, 64, 910, 221, 40, 68, 121, 55, 202, 53]",1
"[114, 876, 163, 222, 412, 75, 421, 55, 145, 111]",1
"[58, 59, 245, 236, 267, 68, 234, 126, 63, 412]",1
"[36, 234, 902, 236, 43, 154, 120, 103, 22, 235]",1
"[23, 141, 42, 895, 37, 54, 163, 18, 222, 117]",0
"[36, 5, 101, 15, 35, 27, 64, 45, 222, 117]",1
"[154, 28, 234, 145, 526, 58, 421, 163, 222, 497]",0
"[268, 200, 245, 96, 902, 154, 104, 163, 29, 35]",0
"[79, 234, 55, 29, 53, 897, 203, 84, 236, 902]",1
"[58, 421, 85, 147, 37, 266, 64, 910, 222, 117]",0
"[420, 121, 910, 221, 117, 86, 421, 895, 30, 111]",0
"[150, 28, 897, 50, 235, 36, 106, 895, 236, 40]",0
"[67, 141, 246, 29, 147, 79, 163, 18, 222, 43]",1
"[901, 141, 166, 45, 432, 92, 234, 55, 202, 143]",1
"[41, 120, 61, 235, 412, 77, 163, 246, 202, 164]",1
"[79, 107, 43, 145, 412, 266, 68, 895, 235, 111]",1
"[223, 30, 55, 429, 53, 58, 107, 163, 221, 267]",1
"[106, 77, 126, 96, 22, 79, 427, 777, 895, 57]",1
"[24, 77, 166, 895, 164, 897, 427, 53, 268, 22]",1
"[78, 887, 235, 81, 103, 69, 104, 55, 147, 164]",1
"[92, 107, 69, 147, 235, 23, 104, 55, 145, 111]",0
"[2, 234, 61, 147, 111, 24, 5, 895, 110, 555]",0
"[233, 141, 43, 145, 432, 23, 35, 55, 360, 111]",1
"[234, 876, 38, 15, 164, 122, 35, 55, 81, 526]",0
"[234, 203, 12, 236, 910, 64, 163, 55, 360, 164]",1
"[42, 203, 895, 110, 78, 79, 64, 8, 81, 12]",1
"[6, 64, 55, 147, 12, 157, 107, 61, 67, 235]",1
"[78, 5, 84, 157, 53, 777, 203, 163, 895, 235]",0
"[79, 203, 246, 50, 78, 266, 254, 103, 523, 89]",1
"[266, 234, 8, 895, 53, 58, 141, 163, 145, 12]",0
